subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-107187100_ses-1,60068,119886,2,250,NON_MANIFOLD
sub-107187100_ses-2,60068,119890,6,250,NON_MANIFOLD
sub-107201200_ses-1,60071,119884,1,257,NON_MANIFOLD
sub-107201200_ses-2,60070,119892,5,251,NON_MANIFOLD
sub-107201200_ses-3,60076,119888,5,267,NON_MANIFOLD
sub-107205100_ses-1,60064,119879,2,249,NON_MANIFOLD
sub-107205100_ses-2,60066,119884,2,248,NON_MANIFOLD
sub-107205100_ses-3,60070,119885,2,255,NON_MANIFOLD
sub-107205100_ses-5,60076,119869,5,286,NON_MANIFOLD
sub-107268100_ses-1,60070,119886,4,256,NON_MANIFOLD
sub-107320100_ses-1,60066,119869,3,264,NON_MANIFOLD
sub-107320100_ses-2,60062,119878,1,245,NON_MANIFOLD
sub-107320100_ses-3,60063,119879,3,248,NON_MANIFOLD
sub-107320100_ses-5,60071,119870,3,273,NON_MANIFOLD
sub-107328100_ses-4,60081,119850,5,315,NON_MANIFOLD
sub-107328100_ses-5,60075,119856,1,293,NON_MANIFOLD
sub-107330100_ses-1,60062,119865,3,260,NON_MANIFOLD
sub-107330100_ses-4,60067,119873,2,261,NON_MANIFOLD
sub-107331100_ses-1,60065,119882,1,247,NON_MANIFOLD
sub-107405100_ses-1,60063,119864,5,265,NON_MANIFOLD
sub-107405100_ses-4,60073,119864,7,287,NON_MANIFOLD
sub-107406100_ses-1,60057,119876,2,238,NON_MANIFOLD
sub-107406100_ses-2,60062,119879,3,246,NON_MANIFOLD
sub-107443100_ses-1,60065,119870,0,258,OK
sub-107443100_ses-2,60070,119875,2,265,NON_MANIFOLD
sub-107443100_ses-5,60083,119858,4,310,NON_MANIFOLD
sub-107453100_ses-1,60066,119880,2,252,NON_MANIFOLD
sub-107453100_ses-2,60070,119880,2,260,NON_MANIFOLD
sub-107453100_ses-3,60077,119884,3,271,NON_MANIFOLD
sub-107453100_ses-4,60076,119875,4,279,NON_MANIFOLD
sub-107472100_ses-1,60071,119860,3,283,NON_MANIFOLD
sub-107472100_ses-2,60065,119876,1,253,NON_MANIFOLD
sub-107472100_ses-3,60071,119874,3,269,NON_MANIFOLD
sub-107475100_ses-1,60076,119887,2,265,NON_MANIFOLD
sub-107509100_ses-1,60065,119870,3,261,NON_MANIFOLD
sub-107509100_ses-4,60069,119884,1,253,NON_MANIFOLD
sub-107509100_ses-5,60071,119877,2,265,NON_MANIFOLD
sub-107528100_ses-1,60069,119852,2,286,NON_MANIFOLD
